dt,landAverageTemperature,LandMaxTemperature,LandMinTemperature,landAndOceanAverageTemperature
1850,7.900666666666666,13.476666666666667,1.964333333333333,14.867166666666668
1851,8.178583333333332,13.080999999999998,2.2039166666666667,14.991833333333332
1852,8.100166666666667,13.397333333333336,2.337,15.006500000000003
1853,8.041833333333333,13.886583333333334,1.8925,14.955166666666669
1854,8.2105,13.977416666666668,1.762166666666667,14.990999999999998
1855,8.110749999999998,13.493166666666665,1.7028333333333334,15.021083333333332
1856,7.995916666666666,13.470249999999998,1.5250833333333336,14.879333333333333
1857,7.758166666666668,13.437583333333336,1.8568333333333333,14.758249999999999
1858,8.10025,13.683,2.1107499999999995,14.8815
1859,8.252,13.860333333333335,2.4601666666666664,14.929916666666669
1860,7.960833333333333,13.96025,2.3441666666666663,14.882916666666665
1861,7.846500000000002,13.856750000000003,2.26275,14.800666666666666
1862,7.558583333333334,14.247250000000003,2.4827500000000002,14.740083333333333
1863,8.111833333333333,13.619916666666667,2.7670833333333333,14.93575
1864,7.983583333333335,13.918916666666668,2.4101666666666666,14.896499999999998
1865,8.177833333333334,14.298083333333336,2.551833333333333,14.996666666666668
1866,8.292166666666665,14.165916666666666,2.4322500000000007,15.057000000000002
1867,8.436333333333334,14.146749999999999,2.463666666666667,15.058666666666667
1868,8.247916666666667,14.097916666666668,2.369666666666667,15.096916666666667
1869,8.432083333333333,14.0695,2.1650833333333335,15.065499999999998
1870,8.201333333333332,14.210083333333335,2.4248333333333325,15.004333333333335
1871,8.115083333333333,13.983833333333335,2.158,15.00591666666667
1872,8.193833333333332,14.285083333333333,2.1874166666666666,15.019333333333336
1873,8.351083333333333,14.010166666666665,1.9040833333333327,15.04925
1874,8.4335,13.8835,2.0616666666666665,14.957
1875,7.859583333333334,14.008416666666667,1.6141666666666665,14.921916666666666
1876,8.080083333333333,13.934833333333335,2.134666666666667,14.90941666666667
1877,8.539583333333333,14.430333333333332,2.6485833333333337,15.28266666666667
1878,8.82975,14.742166666666668,2.981666666666667,15.357416666666666
1879,8.165833333333333,14.065750000000001,2.0789166666666667,15.064416666666668
1880,8.118749999999999,13.913416666666668,2.054416666666667,15.008666666666665
1881,8.270916666666666,14.050416666666669,2.4264166666666664,15.087166666666668
1882,8.128916666666667,14.11425,2.2725833333333334,15.05658333333333
1883,7.976916666666667,13.96225,1.880166666666666,14.96325
1884,7.773666666666668,13.692083333333334,1.6477500000000003,14.833250000000001
1885,7.919666666666668,13.911583333333333,1.87425,14.854416666666667
1886,7.954499999999999,13.9465,1.9711666666666672,14.83525
1887,7.914916666666667,13.890083333333335,1.9069166666666666,14.816
1888,8.0905,13.909166666666664,1.9540833333333334,14.994083333333336
1889,8.318999999999999,14.294083333333338,2.3480833333333333,15.113416666666668
1890,7.971666666666667,13.928916666666664,1.8507500000000003,14.84075
1891,8.019333333333334,14.033333333333331,1.9055,14.943833333333332
1892,8.065833333333332,13.970583333333332,1.9816666666666665,14.8825
1893,8.05675,13.936666666666667,1.9071666666666667,14.91225
1894,8.161,14.040500000000002,2.12375,14.91475
1895,8.147,14.077666666666666,2.075833333333334,14.969000000000001
1896,8.214916666666666,14.107916666666668,2.1147499999999995,15.090583333333335
1897,8.293333333333335,14.186749999999998,2.2940833333333335,15.075333333333335
1898,8.177999999999999,14.231833333333334,2.153,14.886916666666666
1899,8.396333333333333,14.331583333333334,2.430083333333333,15.048333333333334
1900,8.501583333333333,14.389500000000004,2.5756666666666668,15.143916666666664
1901,8.541916666666665,14.512166666666667,2.4904999999999995,15.073333333333332
1902,8.304416666666667,14.36425,2.20375,14.958333333333334
1903,8.220166666666668,14.085749999999997,2.2833333333333337,14.836583333333335
1904,8.090916666666667,14.063666666666668,2.1710833333333333,14.810416666666667
1905,8.225166666666665,14.082166666666668,2.3432500000000003,14.954666666666666
1906,8.379083333333332,14.244,2.4864166666666665,15.031916666666667
1907,7.947166666666667,13.807833333333333,2.0031666666666665,14.87483333333333
1908,8.186083333333334,14.038750000000006,2.17475,14.838166666666671
1909,8.17825,14.026583333333337,2.157583333333333,14.790333333333335
1910,8.223,14.097333333333333,2.157666666666667,14.819083333333333
1911,8.177000000000001,13.987833333333334,2.250166666666667,14.776000000000002
1912,8.165416666666667,14.053333333333335,2.201,14.877166666666666
1913,8.297749999999999,14.201749999999999,2.3190833333333334,14.908749999999998
1914,8.5905,14.314500000000002,2.6870833333333324,15.076250000000002
1915,8.593166666666665,14.474166666666667,2.64375,15.143749999999999
1916,8.22525,14.097166666666665,2.2624999999999997,14.901333333333334
1917,8.023333333333332,13.925916666666666,2.0195833333333333,14.809750000000003
1918,8.130833333333332,13.961083333333333,2.1856666666666666,14.959833333333336
1919,8.38225,14.15633333333333,2.4510833333333335,15.006749999999998
1920,8.35875,14.142666666666669,2.44575,15.026249999999997
1921,8.571,14.424416666666668,2.6770833333333335,15.102083333333333
1922,8.408,14.20525,2.433333333333333,15.012333333333336
1923,8.422166666666666,14.181750000000001,2.4562500000000003,15.027833333333332
1924,8.506833333333335,14.223833333333339,2.5061666666666667,15.039333333333333
1925,8.534416666666667,14.344333333333333,2.5415,15.090333333333334
1926,8.728833333333332,14.45225,2.7685833333333334,15.241083333333336
1927,8.522083333333333,14.297833333333331,2.535249999999999,15.122250000000001
1928,8.632166666666668,14.362166666666667,2.66825,15.13225
1929,8.242416666666665,13.95641666666667,2.3010833333333336,14.967416666666665
1930,8.633583333333332,14.326250000000002,2.74,15.172499999999998
1931,8.71925,14.41975,2.818583333333333,15.228250000000003
1932,8.705250000000001,14.432083333333333,2.7625000000000006,15.188000000000002
1933,8.33825,14.078333333333331,2.424416666666666,15.012916666666667
1934,8.628333333333332,14.38425,2.7665833333333336,15.1445
1935,8.51575,14.286916666666668,2.5877500000000007,15.118833333333335
1936,8.554,14.314583333333333,2.639416666666667,15.166166666666667
1937,8.698333333333332,14.476333333333335,2.7500000000000004,15.3005
1938,8.863666666666667,14.649916666666668,3.033000000000001,15.293083333333334
1939,8.760333333333334,14.594666666666667,2.880666666666667,15.302333333333332
1940,8.764666666666665,14.579083333333335,2.890333333333334,15.372083333333334
1941,8.768666666666668,14.536166666666666,2.9148333333333336,15.384666666666666
1942,8.728416666666666,14.53425,2.9200833333333343,15.325333333333338
1943,8.755083333333333,14.603000000000002,2.936583333333333,15.345
1944,8.845,14.727166666666664,3.0596666666666668,15.449083333333334
1945,8.584833333333332,14.438749999999999,2.7723333333333335,15.33075
1946,8.676916666666665,14.481500000000002,2.830583333333333,15.262750000000002
1947,8.797083333333333,14.5625,2.9645833333333336,15.31016666666667
1948,8.74675,14.615583333333335,2.9154166666666668,15.261166666666668
1949,8.58675,14.414666666666664,2.8021666666666665,15.22275
1950,8.365250000000001,14.17375,2.578583333333333,15.139499999999998
1951,8.625666666666666,14.43016666666667,2.7356666666666665,15.311166666666665
1952,8.638250000000001,14.462583333333335,2.820166666666666,15.363083333333334
1953,8.873750000000003,14.639249999999999,3.1076666666666664,15.421083333333334
1954,8.560666666666666,14.286583333333333,2.865833333333333,15.230583333333335
1955,8.62625,14.329083333333331,2.8614166666666674,15.174333333333331
1956,8.279583333333333,14.023666666666665,2.56175,15.106
1957,8.7325,14.381916666666669,3.001,15.374083333333331
1958,8.773750000000001,14.477499999999997,3.1145,15.382083333333334
1959,8.732666666666665,14.4165,3.1085833333333333,15.340499999999999
1960,8.58375,14.317416666666665,2.932583333333332,15.291916666666665
1961,8.797666666666666,14.514916666666664,3.12875,15.379916666666668
1962,8.745916666666666,14.54016666666667,3.0085833333333327,15.325583333333334
1963,8.856,14.612250000000001,3.1575833333333336,15.376666666666667
1964,8.409666666666666,14.156833333333333,2.768833333333333,15.117083333333332
1965,8.527416666666667,14.268416666666667,2.841416666666667,15.195750000000002
1966,8.599333333333332,14.325916666666666,2.8994166666666668,15.264666666666665
1967,8.700083333333334,14.406500000000001,3.037083333333333,15.294166666666667
1968,8.516333333333334,14.164250000000001,2.85725,15.263916666666665
1969,8.595083333333333,14.212083333333332,2.962916666666666,15.390499999999998
1970,8.700916666666666,14.403250000000002,3.04275,15.332666666666666
1971,8.59925,14.352750000000002,2.9622499999999996,15.200000000000001
1972,8.499583333333334,14.164916666666665,2.844833333333334,15.292916666666668
1973,8.948249999999998,14.565999999999997,3.3701666666666656,15.404750000000002
1974,8.4675,14.08191666666667,2.9009166666666673,15.168083333333334
1975,8.744833333333334,14.383666666666665,3.121083333333333,15.238666666666667
1976,8.347249999999999,14.008000000000001,2.734166666666667,15.131083333333335
1977,8.850249999999999,14.4855,3.294583333333333,15.40825
1978,8.692749999999998,14.28125,3.1709166666666664,15.300916666666666
1979,8.733416666666665,14.457750000000003,3.2000833333333336,15.414166666666667
1980,8.980333333333332,14.672916666666667,3.404666666666667,15.491833333333332
1981,9.165833333333333,14.85516666666667,3.6359166666666667,15.516166666666669
1982,8.639166666666666,14.300916666666666,3.2399166666666672,15.341916666666668
1983,9.028166666666667,14.679833333333335,3.5524166666666672,15.520249999999999
1984,8.691833333333335,14.342666666666666,3.1867499999999995,15.344166666666666
1985,8.658,14.267166666666668,3.175666666666667,15.34066666666667
1986,8.833583333333332,14.51683333333333,3.319333333333333,15.384000000000002
1987,8.994416666666668,14.699833333333332,3.431416666666667,15.524500000000003
1988,9.201583333333334,14.889999999999999,3.6540000000000004,15.555750000000002
1989,8.922000000000002,14.6215,3.3343333333333334,15.441583333333334
1990,9.234166666666667,14.957666666666668,3.65875,15.629333333333335
1991,9.179416666666667,14.839583333333335,3.6221666666666668,15.597999999999999
1992,8.836583333333332,14.471333333333332,3.2635,15.452999999999998
1993,8.866583333333333,14.519750000000002,3.2845833333333334,15.466416666666667
1994,9.038749999999999,14.729249999999999,3.3960833333333333,15.534999999999998
1995,9.347083333333332,15.026416666666668,3.7035,15.637833333333333
1996,9.038916666666667,14.737249999999998,3.3811666666666667,15.524666666666667
1997,9.202583333333333,14.868,3.5901666666666663,15.713833333333334
1998,9.522666666666666,15.169416666666665,3.9491666666666667,15.826000000000002
1999,9.285083333333333,14.982750000000001,3.662333333333333,15.600333333333333
2000,9.201166666666667,14.898833333333329,3.581833333333334,15.610666666666667
2001,9.414583333333335,15.15916666666667,3.7406666666666673,15.767499999999998
2002,9.570416666666667,15.31233333333333,3.864583333333334,15.829166666666667
2003,9.525583333333335,15.249333333333333,3.851583333333334,15.826583333333337
2004,9.324583333333333,15.017999999999999,3.664416666666666,15.75725
2005,9.700916666666666,15.349833333333335,4.113833333333333,15.879249999999999
2006,9.532499999999999,15.262000000000002,3.8648333333333333,15.8135
2007,9.732166666666666,15.533083333333332,4.009250000000001,15.827333333333334
2008,9.431750000000001,15.19175,3.724833333333333,15.721250000000003
2009,9.505250000000002,15.266583333333335,3.7969166666666667,15.827166666666665
2010,9.703083333333332,15.449,4.0239166666666675,15.895499999999998
2011,9.516,15.284833333333337,3.827666666666667,15.7695
2012,9.507333333333333,15.332833333333333,3.7561666666666667,15.802333333333337
2013,9.6065,15.373833333333335,3.911333333333332,15.854416666666667
2014,9.570666666666666,15.313583333333334,3.8777499999999994,15.912999999999997
2015,9.830999999999998,15.572666666666665,4.148833333333333,16.058583333333335
